### 2016-04-14 00:41:40.764483204 +0200 CEST Data Acquisition: cinco 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 4233530200, 81, -0.979248, -0.000488, -0.062988, 1.549618, 1.687023, 0.267176
[Ard], 9223372036854775, 0, 4233554524, 68, -0.979980, 0.001953, -0.056152, 1.320611, 1.717557, 0.053435
[Ard], 9223372036854775, 0, 4233594044, 67, -0.981934, 0.004883, -0.075195, 1.595420, 1.763359, 0.343511
[Ard], 9223372036854775, 0, 4233633564, 68, -0.982910, 0.005615, -0.055908, 1.458015, 1.709924, 0.297710
[Ard], 9223372036854775, 0, 4233673084, 67, -0.982666, 0.003174, -0.069336, 1.259542, 1.694656, 0.206107
[Ard], 9223372036854775, 0, 4233712604, 68, -0.984375, 0.008789, -0.071533, 1.328244, 1.671756, 0.106870
[Ard], 9223372036854775, 0, 4233752124, 68, -0.983887, 0.007080, -0.058105, 1.358779, 1.572519, 0.137405
[Ard], 9223372036854775, 0, 4233791644, 67, -0.984375, 0.005371, -0.057129, 1.351145, 1.534351, 0.190840
[Ard], 9223372036854775, 0, 4233831164, 68, -0.984619, 0.003662, -0.062744, 1.175573, 1.740458, 0.129771
[Ard], 9223372036854775, 0, 4233870684, 67, -0.977051, 0.007080, -0.078613, 1.267176, 1.641221, 0.267176
[Ard], 9223372036854775, 0, 4233910204, 68, -0.981689, 0.006104, -0.063477, 1.473282, 1.503817, 0.259542
[Ard], 9223372036854775, 0, 4233949724, 68, -0.981934, 0.001709, -0.067871, 1.305344, 1.763359, 0.404580
[Ard], 9223372036854775, 0, 4233989244, 68, -0.985840, 0.010742, -0.060791, 1.427481, 1.656489, 0.190840
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 4234068284, 67, -0.980225, 0.005371, -0.069580, 1.473282, 1.877863, 0.312977
[Ard], 9223372036854775, 0, 1852400860, 774774887, 0.000000, 0.000000, -4643572746165834652192822902818603008.000000, 0.000000, -0.979980, 0.009277
[Ard], 9223372036854775, 0, 4234240924, 68, -0.983643, 0.006836, -0.062256, 1.358779, 1.862595, 0.122137
[Ard], 9223372036854775, 0, 1852400860, 774774887, 0.000000, 0.000000, -4643572746165834652192822902818603008.000000, 0.000000, -0.979980, 0.009277
[Ard], 9223372036854775, 0, 4234161884, 68, -0.978271, 0.006592, -0.065674, 1.404580, 144304269716094976.000000, 2019.081055
[Ard], 9223372036854775, 0, 4234359484, 68, -0.981445, 0.005615, -0.066406, 1.572519, 1.717557, 0.137405
