### 2016-04-14 00:38:39.49194172 +0200 CEST Data Acquisition: cuatro 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 4074407196, 62, -0.990479, 0.001465, -0.066895, 1.274809, 1.587786, 0.267176
[Ard], 9223372036854775, 0, 4074431596, 68, -0.982666, 0.003418, -0.062744, 1.488550, 1.816794, 0.343511
[Ard], 9223372036854775, 0, 4074471116, 68, -0.985840, 0.003662, -0.060547, 1.465649, 1.557252, 0.305344
[Ard], 9223372036854775, 0, 4074510636, 67, -0.984131, 0.002441, -0.069580, 1.496183, 1.702290, 0.305344
[Ard], 9223372036854775, 0, 4074550156, 68, -0.985596, 0.010742, -0.063232, 1.267176, 1.694656, 0.381679
[Ard], 9223372036854775, 0, 4074589676, 67, -0.984863, 0.008301, -0.071289, 1.519084, 1.671756, 0.167939
[Ard], 9223372036854775, 0, 4074629196, 68, -0.981689, 0.004150, -0.072754, 1.664122, 1.664122, 0.267176
[Ard], 9223372036854775, 0, 4074668716, 68, -0.986572, 0.009033, -0.073730, 1.450382, 1.656489, 0.282443
[Ard], 9223372036854775, 0, 4074708236, 67, -0.982422, 0.005127, -0.057617, 1.496183, 1.450382, 0.328244
[Ard], 9223372036854775, 0, 4074747756, 68, -0.986328, 0.006836, -0.061279, 1.312977, 1.488550, 0.053435
[Ard], 9223372036854775, 0, 4074787276, 67, -0.984131, 0.009033, -0.063965, 1.442748, 1.702290, 0.290076
[Ard], 9223372036854775, 0, 4074826796, 68, -0.971924, 0.001465, -0.073486, 1.465649, 1.633588, 0.297710
[Ard], 9223372036854775, 0, 4074866316, 68, -0.986816, 0.005859, -0.067627, 1.358779, 1.809160, 0.297710
[Ard], 9223372036854775, 0, 4074905836, 67, -0.980713, 0.006348, -0.066895, 1.396947, 1.610687, 0.290076
[Ard], 9223372036854775, 0, 4074945356, 68, -0.982666, 0.002686, -0.069580, 1.442748, 1.541985, 0.160305
[Ard], 9223372036854775, 0, 4074984876, 67, -0.988281, 0.007080, -0.069824, 1.320611, 1.702290, 0.251908
[Ard], 9223372036854775, 0, 4075024404, 68, -0.976807, 0.008301, -0.061279, 1.526718, 1.564885, 0.274809
[Ard], 9223372036854775, 0, 4075063916, 68, -0.979736, 0.008301, -0.067383, 1.419847, 1.595420, 0.297710
[Ard], 9223372036854775, 0, 4075103436, 67, -0.976807, 0.006348, -0.067383, 1.389313, 1.793893, 0.122137
[Ard], 9223372036854775, 0, 4075142956, 68, -0.979248, 0.000732, -0.069580, 1.435115, 1.625954, 0.297710
[Ard], 9223372036854775, 0, 4075182476, 67, -0.981934, 0.005371, -0.068848, 1.404580, 1.709924, 0.183206
[Ard], 9223372036854775, 0, 4075221996, 68, -0.980469, 0.008545, -0.061523, 1.435115, 1.587786, 0.183206
[Ard], 9223372036854775, 0, 4075261516, 68, -0.985840, -0.001221, -0.067627, 1.412214, 1.679389, 0.267176
[Ard], 9223372036854775, 0, 4075301036, 67, -0.980225, 0.006348, -0.073975, 1.465649, 1.473282, 0.145038
[Ard], 9223372036854775, 0, 4075340556, 68, -0.979980, 0.001465, -0.069824, 1.419847, 1.580153, 0.305344
