### 2016-04-14 00:20:14.199693985 +0200 CEST Data Acquisition

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 2916681600, 93, -0.982422, 0.004883, -0.070557, 1.312977, 1.793893, 0.221374
[Ard], 9223372036854775, 0, 2958942964, 1796, -0.983887, 0.003662, -0.067627, 1.511450, 1.648855, 0.229008
[Ard], 9223372036854775, 0, 2958967156, 33272, -0.986084, 0.005859, -0.064453, 1.396947, 1.687023, 0.290076
[Ard], 9223372036854775, 0, 2959162988, 93, -0.983643, 0.003418, -0.060547, 1.412214, 1.549618, 0.244275
[Ard], 9223372036854775, 0, 2959174144, 33177, -0.979004, 0.005371, -0.069336, 1.366412, 1.480916, 0.183206
[Ard], 9223372036854775, 0, 2959369424, 92, -0.984375, 0.008789, -0.054688, 1.358779, 2.091603, 0.312977
[Ard], 9223372036854775, 0, 2959380568, 33126, -0.984131, -0.000488, -0.062744, 1.351145, 1.717557, 0.106870
[Ard], 9223372036854775, 0, 2959575544, 92, -0.976807, 0.002686, -0.064209, 1.419847, 1.496183, 0.236641
[Ard], 9223372036854775, 0, 2959586696, 33100, -0.980957, 0.005127, -0.066162, 1.496183, 1.671756, 0.259542
[Ard], 9223372036854775, 0, 2959781528, 93, -0.980225, 0.003906, -0.063477, 1.396947, 1.473282, 0.374046
[Ard], 9223372036854775, 0, 2959792684, 2066, -0.987305, 0.000244, -0.064941, 1.541985, 1.893130, 0.320611
[Ard], 9223372036854775, 0, 2959832204, 33118, -0.982910, -0.000732, -0.071777, 1.526718, 1.641221, 0.267176
[Ard], 9223372036854775, 0, 2960027136, 92, -0.979492, 0.008057, -0.069580, 1.351145, 1.900763, 0.351145
[Ard], 9223372036854775, 0, 2960038292, 33180, -0.984619, 0.009033, -0.065186, 1.519084, 1.633588, 0.427481
[Ard], 9223372036854775, 0, 2960233592, 92, -0.983398, 0.004639, -0.067871, 1.396947, 1.564885, 0.358779
[Ard], 9223372036854775, 0, 2960244732, 33008, -0.974609, 0.007568, -0.072998, 1.458015, 1.702290, 0.274809
[Ard], 9223372036854775, 0, 2960439028, 93, -0.979736, 0.010254, -0.064697, 1.534351, 1.931298, 0.152672
[Ard], 9223372036854775, 0, 2960450184, 33224, -0.980713, 0.007568, -0.064209, 1.480916, 1.580153, 0.099237
[Ard], 9223372036854775, 0, 2960645728, 93, -0.986084, 0.006104, -0.077637, 1.480916, 1.694656, 0.152672
[Ard], 9223372036854775, 0, 2960656884, 33137, -0.980713, 0.004395, -0.065918, 1.366412, 1.770992, 0.297710
[Ard], 9223372036854775, 0, 2960851928, 93, -0.980225, 0.005859, -0.066162, 1.458015, 1.847328, 0.442748
[Ard], 9223372036854775, 0, 2960863076, 33213, -0.985352, 0.008301, -0.063477, 1.603053, 1.687023, 0.167939
[Ard], 9223372036854775, 0, 2961058560, 93, -0.980469, 0.009521, -0.071533, 1.396947, 1.755725, 0.328244
[Ard], 9223372036854775, 0, 2961069712, 33260, -0.984131, 0.004150, -0.071289, 1.793893, 1.435115, 0.297710
[Ard], 9223372036854775, 0, 2961265472, 93, -0.979980, 0.004150, -0.053711, 1.282443, 1.839695, 0.312977
[Ard], 9223372036854775, 0, 2961276620, 2082, -0.981934, 0.004639, -0.069336, 1.312977, 1.633588, 0.198473
[Ard], 9223372036854775, 0, 2961316140, 33232, -0.980225, 0.005615, -0.073730, 1.267176, 1.717557, 0.297710
[Ard], 9223372036854775, 0, 2961511744, 92, -0.986572, 0.002930, -0.065918, 1.564885, 1.465649, 0.213740
[Ard], 9223372036854775, 0, 2961522892, 33230, -0.982178, 0.007568, -0.062256, 1.282443, 1.572519, 0.282443
[Ard], 9223372036854775, 0, 2961718480, 92, -0.977295, 0.006592, -0.058594, 1.427481, 1.893130, 0.213740
[Ard], 9223372036854775, 0, 2961729632, 33083, -0.983643, 0.002197, -0.065918, 1.267176, 1.587786, 0.290076
[D], 9223372036854775,
[Ard], 9223372036854775, 3178823680, 1068939186, 1070860241, 0.274809, 264388953043109937152.000000, 18057843026745787723716493312.000000, 0.000000, 0.000000, -0.985596
[Ard], 9223372036854775, 3178823680, 1068939186, 1070860241, 0.274809, 264388953043109937152.000000, 18057843026745787723716493312.000000, 0.000000, 0.000000, -0.985596
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 2962363264, 32828, -0.000000, 0.000000, -0.980957, 0.004150, -0.069092, 1.450382
[Ard], 9223372036854775, 0, 2965609316, 1805, -0.982666, 0.004639, -0.062256, 1.297710, 1.778626, 0.175573
[Ard], 9223372036854775, 0, 2965633516, 33451, -0.982422, 0.006104, -0.061035, 1.251908, 1.748092, 0.412214
[Ard], 9223372036854775, 0, 2965830396, 93, -0.979736, 0.005859, -0.070068, 1.335878, 1.664122, 0.396947
[Ard], 9223372036854775, 0, 2965841544, 32838, -0.980713, 0.005371, -0.065918, 1.320611, 1.763359, 0.290076
