### 2016-04-14 02:09:57.437920448 +0200 CEST Data Acquisition: ocho 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 934404056, 423, -0.982178, 0.007324, -0.071289, 1.320611, 1.824427, 0.206107
[Ard], 9223372036854775, 0, 934426296, 423, -0.976074, 0.002686, -0.065918, 1.488550, 1.603053, 0.229008
[Ard], 9223372036854775, 0, 934465816, 422, -0.985596, 0.007324, -0.064209, 1.221374, 1.656489, 0.190840
[Ard], 9223372036854775, 0, 934505336, 423, -0.983154, -0.001465, -0.065186, 1.381679, 1.755725, 0.274809
[Ard], 9223372036854775, 0, 934544856, 422, -0.984131, -0.001709, -0.072021, 1.450382, 1.702290, 0.297710
[Ard], 9223372036854775, 0, 934584376, 423, -0.981934, 0.004395, -0.070312, 1.328244, 1.664122, 0.290076
[Ard], 9223372036854775, 0, 934623896, 423, -0.983154, 0.002930, -0.065186, 1.297710, 1.534351, 0.534351
[Ard], 9223372036854775, 0, 934663416, 422, -0.984375, 0.002930, -0.065674, 1.328244, 1.809160, 0.137405
[Ard], 9223372036854775, 0, 934702936, 423, -0.980957, 0.006348, -0.060547, 1.396947, 1.694656, 0.206107
[Ard], 9223372036854775, 0, 934742456, 422, -0.982422, 0.000488, -0.062988, 1.541985, 1.725191, 0.274809
[Ard], 9223372036854775, 0, 934781980, 423, -0.979736, 0.004150, -0.066895, 1.465649, 1.488550, 0.206107
[Ard], 9223372036854775, 0, 934821496, 423, -0.988037, 0.007324, -0.063232, 1.503817, 1.702290, 0.358779
[Ard], 9223372036854775, 0, 934861016, 422, -0.977051, 0.006348, -0.064697, 1.366412, 1.786260, 0.229008
[Ard], 9223372036854775, 0, 934900536, 423, -0.980225, 0.007324, -0.062012, 1.526718, 1.648855, 0.259542
[Ard], 9223372036854775, 0, 934940056, 422, -0.984375, 0.001221, -0.056396, 1.412214, 1.519084, 0.091603
[Ard], 9223372036854775, 0, 934979576, 423, -0.975586, 0.003906, -0.063965, 1.374046, 1.770992, 0.183206
[Ard], 9223372036854775, 0, 935019096, 423, -0.989014, -0.002441, -0.055664, 1.503817, 1.618321, 0.206107
[Ard], 9223372036854775, 0, 935058616, 422, -0.979248, 0.006592, -0.069092, 1.366412, 1.740458, 0.267176
[Ard], 9223372036854775, 0, 935098136, 423, -0.979248, 0.001221, -0.056396, 1.320611, 1.534351, 0.427481
[Ard], 9223372036854775, 0, 935137656, 422, -0.982666, 0.006836, -0.069824, 1.473282, 1.625954, 0.274809
[Ard], 9223372036854775, 0, 935177176, 423, -0.978271, 0.009033, -0.067627, 1.404580, 1.648855, 0.137405
[Ard], 9223372036854775, 0, 935216696, 423, -0.983398, 0.003418, -0.067139, 1.503817, 1.664122, 0.190840
[Ard], 9223372036854775, 0, 935256216, 422, -0.981445, 0.005859, -0.064453, 1.473282, 1.748092, 0.305344
[Ard], 9223372036854775, 0, 935295736, 423, -0.981201, 0.002441, -0.068115, 1.229008, 1.664122, 0.152672
[Ard], 9223372036854775, 0, 935335256, 422, -0.980225, 0.004150, -0.065674, 1.412214, 1.694656, 0.198473
[Ard], 9223372036854775, 0, 935374776, 423, -0.984375, 0.003418, -0.069092, 1.496183, 1.580153, 0.129771
[Ard], 9223372036854775, 0, 935414296, 423, -0.987549, 0.007324, -0.080078, 1.625954, 1.480916, 0.274809
[Ard], 9223372036854775, 0, 935453816, 422, -0.979980, -0.001709, -0.067139, 1.412214, 1.748092, 0.335878
[Ard], 9223372036854775, 0, 935493336, 423, -0.986328, 0.003906, -0.067139, 1.480916, 1.694656, 0.167939
[Ard], 9223372036854775, 0, 935532856, 422, -0.983887, 0.000732, -0.066406, 1.343511, 1.839695, 0.274809
[Ard], 9223372036854775, 0, 935572376, 423, -0.981689, 0.006348, -0.065918, 1.595420, 1.595420, 0.259542
[Ard], 9223372036854775, 0, 935611896, 422, -0.977783, 0.002686, -0.074707, 1.557252, 1.854962, 0.320611
[Ard], 9223372036854775, 0, 935651416, 422, -0.984131, 0.002441, -0.059814, 1.473282, 1.755725, 0.251908
[Ard], 9223372036854775, 0, 935690936, 423, -0.981201, -0.002197, -0.064453, 1.419847, 1.679389, 0.183206
[Ard], 9223372036854775, 0, 935730456, 422, -0.977295, 0.004639, -0.061523, 1.419847, 1.595420, 0.374046
[Ard], 9223372036854775, 0, 935769976, 423, -0.984375, 0.006348, -0.059814, 1.213740, 1.748092, 0.167939
[Ard], 9223372036854775, 0, 935809496, 422, -0.985352, -0.003418, -0.062256, 1.320611, 1.656489, 0.297710
[Ard], 9223372036854775, 0, 935849016, 423, -0.977783, 0.002197, -0.063965, 1.450382, 1.725191, 0.206107
[Ard], 9223372036854775, 0, 935888536, 423, -0.985840, 0.003174, -0.065430, 1.366412, 1.618321, 0.213740
[Ard], 9223372036854775, 0, 935928056, 418, -0.981445, 0.000488, -0.053467, 1.297710, 1.549618, 0.160305
[Ard], 9223372036854775, 0, 935967576, 423, -0.982666, 0.000000, -0.067627, 1.343511, 1.763359, 0.312977
