### 2016-04-14 00:49:27.761116766 +0200 CEST Data Acquisition: seis 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 398420864, 423, -0.981201, 0.005371, -0.061035, 1.412214, 1.832061, 0.404580
[Ard], 9223372036854775, 0, 398443104, 423, -0.984863, 0.005615, -0.068115, 1.160305, 1.450382, 0.312977
[Ard], 9223372036854775, 0, 398482624, 422, -0.985352, 0.009033, -0.063965, 1.381679, 1.679389, 0.290076
[Ard], 9223372036854775, 0, 398522144, 423, -0.977783, 0.003418, -0.076416, 1.534351, 1.564885, 0.312977
[Ard], 9223372036854775, 0, 398561664, 422, -0.981689, 0.007568, -0.071777, 1.160305, 1.595420, 0.396947
[Ard], 9223372036854775, 0, 398601184, 418, -0.979492, 0.001465, -0.054443, 1.511450, 1.748092, 0.290076
[Ard], 9223372036854775, 0, 398640704, 423, -0.977539, 0.008789, -0.065674, 1.465649, 1.809160, 0.206107
[Ard], 9223372036854775, 0, 398680224, 418, -0.984131, 0.003174, -0.060547, 1.595420, 1.671756, 0.290076
[Ard], 9223372036854775, 0, 398719744, 423, -0.984375, 0.004395, -0.073975, 1.488550, 1.633588, 0.206107
[Ard], 9223372036854775, 0, 398759264, 422, -0.986328, 0.004639, -0.070801, 1.290076, 1.671756, 0.213740
[Ard], 9223372036854775, 0, 398798784, 423, -0.984619, 0.006104, -0.067627, 1.282443, 1.564885, 0.244275
[Ard], 9223372036854775, 0, 398838304, 423, -0.979004, 0.004883, -0.067139, 1.480916, 1.549618, 0.381679
[Ard], 9223372036854775, 0, 398877824, 422, -0.982910, 0.008057, -0.069092, 1.396947, 1.610687, 0.221374
[Ard], 9223372036854775, 0, 398917344, 423, -0.978271, 0.011963, -0.067871, 1.503817, 1.610687, 0.137405
[Ard], 9223372036854775, 0, 398956864, 422, -0.983154, 0.010742, -0.062012, 1.305344, 1.740458, 0.251908
[Ard], 9223372036854775, 0, 398996384, 423, -0.983154, 0.006592, -0.067627, 1.458015, 1.603053, 0.106870
[Ard], 9223372036854775, 0, 399035904, 422, -0.981934, 0.006836, -0.071777, 1.503817, 1.633588, 0.061069
[Ard], 9223372036854775, 0, 399075424, 419, -0.980957, 0.005859, -0.070557, 1.427481, 1.526718, 0.351145
[Ard], 9223372036854775, 0, 399114944, 419, -0.978760, 0.002197, -0.069824, 1.488550, 1.641221, 0.213740
[Ard], 9223372036854775, 0, 399154464, 417, -0.980713, 0.009277, -0.069336, 1.381679, 1.770992, 0.450382
[Ard], 9223372036854775, 0, 399193984, 423, -0.985596, -0.000732, -0.072998, 1.335878, 1.770992, 0.229008
[Ard], 9223372036854775, 0, 399233504, 418, -0.984863, 0.009033, -0.065430, 1.412214, 1.603053, 0.229008
[Ard], 9223372036854775, 0, 399273024, 419, -0.980957, 0.003174, -0.072998, 1.450382, 1.435115, 0.312977
[Ard], 9223372036854775, 0, 399312544, 423, -0.980469, 0.001709, -0.068359, 1.427481, 1.679389, 0.328244
[Ard], 9223372036854775, 0, 399352064, 418, -0.983643, 0.003906, -0.064941, 1.396947, 1.709924, 0.229008
