### 2016-04-14 00:57:29.911112918 +0200 CEST Data Acquisition: siete 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 879943848, 406, -0.977051, 0.006104, -0.073486, 1.519084, 1.496183, 0.213740
[Ard], 9223372036854775, 0, 879966172, 406, -0.977539, 0.009033, -0.063232, 1.419847, 1.572519, 0.351145
[Ard], 9223372036854775, 0, 880005692, 402, -0.984131, 0.004639, -0.063232, 1.244275, 1.793893, 0.274809
[Ard], 9223372036854775, 0, 880045212, 406, -0.981689, 0.001953, -0.064697, 1.343511, 1.496183, 0.282443
[Ard], 9223372036854775, 0, 880084732, 406, -0.982910, 0.006348, -0.072021, 1.366412, 1.748092, 0.213740
[Ard], 9223372036854775, 0, 880124252, 405, -0.983154, 0.009277, -0.058594, 1.335878, 1.442748, 0.038168
[Ard], 9223372036854775, 0, 880163772, 406, -0.983154, 0.007324, -0.067627, 1.366412, 1.641221, 0.282443
[Ard], 9223372036854775, 0, 880203292, 406, -0.983398, 0.004150, -0.064453, 1.412214, 1.702290, 0.320611
[Ard], 9223372036854775, 0, 880242812, 402, -0.983887, 0.007812, -0.063965, 1.351145, 1.587786, 0.274809
[Ard], 9223372036854775, 0, 880282332, 402, -0.975586, -0.000977, -0.055664, 1.358779, 1.748092, 0.305344
[Ard], 9223372036854775, 0, 880321852, 401, -0.983643, 0.003418, -0.068115, 1.572519, 1.671756, 0.297710
[Ard], 9223372036854775, 0, 880361372, 406, -0.979980, 0.000000, -0.058350, 1.572519, 1.694656, 0.282443
[Ard], 9223372036854775, 0, 880400892, 401, -0.985352, 0.008057, -0.068115, 1.374046, 1.625954, 0.083969
[Ard], 9223372036854775, 0, 880440412, 406, -0.981689, 0.009766, -0.072021, 1.610687, 1.770992, 0.167939
[Ard], 9223372036854775, 0, 880479932, 402, -0.983154, 0.003174, -0.071045, 1.244275, 1.572519, 0.358779
[Ard], 9223372036854775, 0, 880519452, 401, -0.979004, 0.011230, -0.068604, 1.343511, 1.717557, 0.320611
[Ard], 9223372036854775, 0, 880558972, 406, -0.979248, 0.004395, -0.065186, 1.435115, 1.717557, 0.297710
[Ard], 9223372036854775, 0, 880598492, 405, -0.983154, -0.001953, -0.072510, 1.473282, 1.595420, 0.404580
[Ard], 9223372036854775, 0, 880638012, 406, -0.983154, 0.001953, -0.061035, 1.404580, 1.549618, 0.259542
[Ard], 9223372036854775, 0, 880677532, 406, -0.982666, 0.005615, -0.067139, 1.229008, 1.725191, 0.335878
[Ard], 9223372036854775, 0, 880717052, 405, -0.983398, 0.005371, -0.072266, 1.618321, 1.717557, 0.259542
[Ard], 9223372036854775, 0, 880756572, 406, -0.984131, 0.003906, -0.063232, 1.473282, 1.717557, 0.267176
[Ard], 9223372036854775, 0, 880796092, 405, -0.980713, 0.001465, -0.068359, 1.625954, 1.702290, 0.129771
[Ard], 9223372036854775, 0, 880835612, 406, -0.978271, 0.009033, -0.064941, 1.328244, 1.687023, 0.320611
[Ard], 9223372036854775, 0, 880875132, 406, -0.980713, 0.003418, -0.060059, 1.114504, 1.618321, 0.274809
[Ard], 9223372036854775, 0, 880914652, 405, -0.980225, 0.007568, -0.063232, 1.511450, 1.778626, 0.213740
[Ard], 9223372036854775, 0, 880954172, 406, -0.983398, 0.001953, -0.058105, 1.221374, 1.763359, 0.175573
[Ard], 9223372036854775, 0, 880993692, 405, -0.982422, 0.007568, -0.072754, 1.564885, 1.610687, 0.305344
[Ard], 9223372036854775, 0, 881033212, 406, -0.986084, 0.007812, -0.065186, 1.206107, 1.603053, 0.106870
[Ard], 9223372036854775, 0, 881072732, 406, -0.979492, 0.004150, -0.068604, 1.404580, 1.641221, 0.099237
[Ard], 9223372036854775, 0, 881112252, 405, -0.992432, -0.001709, -0.062744, 1.396947, 1.671756, 0.297710
[Ard], 9223372036854775, 0, 881151772, 406, -0.982178, 0.007324, -0.064697, 1.267176, 1.725191, 0.045802
[Ard], 9223372036854775, 0, 881191292, 405, -0.987793, 0.010010, -0.068848, 1.526718, 1.519084, 0.213740
[Ard], 9223372036854775, 0, 881230812, 406, -0.982178, 0.012451, -0.069824, 1.496183, 1.732824, 0.297710
[Ard], 9223372036854775, 0, 881270332, 406, -0.977295, 0.007324, -0.057861, 1.496183, 1.709924, 0.083969
[Ard], 9223372036854775, 0, 881309852, 406, -0.979736, 0.006348, -0.059814, 1.503817, 1.671756, 0.236641
[Ard], 9223372036854775, 0, 881349372, 406, -0.980469, 0.004639, -0.066162, 1.503817, 1.595420, 0.114504
[Ard], 9223372036854775, 0, 881388892, 405, -0.982178, 0.011963, -0.072754, 1.244275, 1.587786, 0.229008
[Ard], 9223372036854775, 0, 881428412, 406, -0.982422, 0.008545, -0.064453, 1.450382, 1.740458, 0.297710
[Ard], 9223372036854775, 0, 881467932, 406, -0.984131, 0.004883, -0.068115, 1.503817, 1.778626, 0.221374
[Ard], 9223372036854775, 0, 881507452, 406, -0.979004, 0.001221, -0.071045, 1.381679, 1.564885, 0.366412
[Ard], 9223372036854775, 0, 881546972, 406, -0.984131, 0.008789, -0.068604, 1.206107, 1.480916, 0.267176
[Ard], 9223372036854775, 0, 881586492, 405, -0.980469, 0.006836, -0.062012, 1.282443, 1.603053, 0.244275
[Ard], 9223372036854775, 0, 881626012, 402, -0.980225, 0.010254, -0.059326, 1.557252, 1.702290, 0.137405
[Ard], 9223372036854775, 0, 881665532, 405, -0.979980, 0.005371, -0.057373, 1.312977, 1.610687, 0.328244
[Ard], 9223372036854775, 0, 881705052, 406, -0.983154, 0.013428, -0.064941, 1.534351, 1.732824, 0.221374
[Ard], 9223372036854775, 0, 881744572, 406, -0.983643, 0.007324, -0.073486, 1.312977, 1.824427, 0.213740
[Ard], 9223372036854775, 0, 881784092, 401, -0.977051, 0.001953, -0.065918, 1.435115, 1.664122, 0.312977
[Ard], 9223372036854775, 0, 881823612, 406, -0.977783, 0.003174, -0.070068, 1.404580, 1.519084, 0.190840
[Ard], 9223372036854775, 0, 881863132, 401, -0.981201, 0.003906, -0.068115, 1.389313, 1.778626, 0.274809
