### 2016-04-14 00:22:33.857277607 +0200 CEST Data Acquisition: tres 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 3078631804, 97, -0.982666, 0.003662, -0.057373, 1.343511, 1.786260, 0.007634
[Ard], 9223372036854775, 0, 3078642960, 33013, -0.987061, 0.000244, -0.067871, 1.458015, 1.763359, 0.343511
[Ard], 9223372036854775, 0, 3078837288, 97, -0.979980, 0.002686, -0.070068, 1.427481, 2.091603, 0.229008
[Ard], 9223372036854775, 0, 3078848436, 33412, -0.981934, 0.008057, -0.067627, 1.709924, 1.702290, 0.290076
[Ard], 9223372036854775, 0, 3079045080, 97, -0.979736, 0.006104, -0.069092, 1.389313, 1.824427, 0.320611
[Ard], 9223372036854775, 0, 3079056228, 2064, -0.984131, -0.000732, -0.065918, 1.480916, 1.702290, 0.244275
[Ard], 9223372036854775, 0, 3079095748, 33285, -0.984375, 0.000000, -0.063477, 1.389313, 1.549618, 0.412214
[Ard], 9223372036854775, 0, 3079291652, 98, -0.985840, 0.001709, -0.066162, 1.396947, 1.801527, 0.244275
[Ard], 9223372036854775, 0, 3079302800, 33291, -0.980957, 0.006836, -0.069824, 1.282443, 1.580153, 0.236641
[Ard], 9223372036854775, 0, 3079498740, 92, -0.983398, 0.003418, -0.062500, 1.519084, 1.366412, 0.152672
[Ard], 9223372036854775, 0, 3079509892, 33285, -0.976562, 0.003906, -0.053467, 1.389313, 1.595420, 0.091603
[Ard], 9223372036854775, 0, 3079705800, 92, -0.986572, 0.003662, -0.053955, 1.274809, 2.083969, 0.236641
[Ard], 9223372036854775, 0, 3079716940, 33146, -0.981201, 0.001465, -0.062744, 1.374046, 1.587786, 0.244275
[Ard], 9223372036854775, 0, 3079912036, 93, -0.979248, -0.001221, -0.070557, 1.465649, 1.580153, 0.305344
[Ard], 9223372036854775, 0, 3079923188, 33138, -0.981445, 0.006348, -0.073486, 1.465649, 1.717557, 0.236641
[Ard], 9223372036854775, 0, 3080118240, 92, -0.977295, 0.002930, -0.070312, 1.213740, 1.648855, 0.282443
[Ard], 9223372036854775, 0, 3080129392, 33314, -0.977783, 0.007324, -0.063965, 1.465649, 1.740458, 0.335878
[Ard], 9223372036854775, 0, 3080325472, 92, -0.979248, 0.003662, -0.065674, 1.267176, 1.396947, 0.267176
[Ard], 9223372036854775, 0, 3080336624, 33086, -0.979492, 0.002441, -0.061035, 1.297710, 1.580153, 0.213740
[Ard], 9223372036854775, 0, 3080531380, 92, -0.985840, 0.007812, -0.065918, 1.335878, 1.435115, 0.328244
[Ard], 9223372036854775, 0, 3080542532, 33056, -0.977051, 0.007568, -0.060791, 1.381679, 1.671756, 0.290076
[Ard], 9223372036854775, 0, 3080737104, 92, -0.984863, 0.014893, -0.068604, 1.312977, 1.519084, 0.267176
[Ard], 9223372036854775, 0, 3080748256, 33172, -0.982422, 0.006348, -0.063965, 1.328244, 1.503817, 0.442748
[Ard], 9223372036854775, 0, 3080943504, 93, -0.980469, 0.003174, -0.070801, 1.526718, 1.824427, 0.267176
[Ard], 9223372036854775, 0, 3080954660, 2064, -0.983154, 0.005859, -0.064941, 1.442748, 1.786260, 0.221374
[Ard], 9223372036854775, 0, 3080994180, 2073, -0.984131, 0.003906, -0.057129, 1.297710, 1.671756, 0.152672
[Ard], 9223372036854775, 0, 3081033700, 33113, -0.988037, 0.003662, -0.066406, 1.435115, 1.595420, 0.290076
[Ard], 9223372036854775, 0, 3081228612, 92, -0.975586, 0.010254, -0.072266, 1.465649, 1.427481, 0.167939
[Ard], 9223372036854775, 0, 3081239760, 2069, -0.987061, 0.007568, -0.064941, 1.343511, 1.648855, 0.160305
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 3081279280, 1070826123, 0.335878, 264388953043109937152.000000, 18057843026745787723716493312.000000, 0.000000, -0.000000, 0.000000
[Ard], 9223372036854775, 0, 3081708176, 33252, -0.982666, 0.010254, -0.058594, 1.526718, 0.000000, 1694294571475938574336.000000
[Ard], 9223372036854775, 0, 3081915048, 1070668230, 0.137405, 0.000000, 15616.000000, 0.000000, 3620284204929941761949696.000000, -0.000000
[Ard], 9223372036854775, 0, 3081697028, 93, 4627753575237446692486774784.000000, 0.000000, -0.000000, 158456325028528675187087900672.000000, 0.000000, -0.000000
[Ard], 9223372036854775, 0, 3082367876, 2298, -0.982178, 0.005615, -0.067383, 1.442748, 1.526718, 0.274809
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 3082367876, 2298, -0.982178, 0.005615, -0.067383, 1.442748, 1.526718, 0.274809
