### 2016-04-14 00:19:33.475736637 +0200 CEST Data Acquisition

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 2905432328, 32990, -0.981934, 0.001953, -0.065674, 1.320611, 1.740458, 0.259542
[Ard], 9223372036854775, 0, 2905626316, 98, -0.982910, 0.005615, -0.071289, 1.251908, 1.946565, 0.343511
[Ard], 9223372036854775, 0, 2905637464, 2074, -0.980957, 0.001953, -0.064941, 1.519084, 1.687023, 0.305344
[Ard], 9223372036854775, 0, 2905676984, 33203, -0.977783, 0.008545, -0.066162, 1.419847, 1.541985, 0.213740
[Ard], 9223372036854775, 0, 2905872420, 97, -0.985352, 0.011230, -0.067627, 1.480916, 1.274809, 0.419847
[Ard], 9223372036854775, 0, 2905883568, 2081, -0.981934, 0.004150, -0.066650, 1.320611, 1.641221, 0.320611
[Ard], 9223372036854775, 0, 2905923088, 33245, -0.983154, 0.002686, -0.065674, 1.396947, 1.595420, 0.206107
[Ard], 9223372036854775, 0, 2906118756, 98, -0.977539, 0.002441, -0.063721, 1.396947, 1.404580, 0.198473
[Ard], 9223372036854775, 0, 2906129904, 33186, -0.984131, 0.008057, -0.067139, 1.480916, 1.702290, 0.343511
[Ard], 9223372036854775, 0, 2906325236, 97, -0.990234, 0.003662, -0.070312, 1.648855, 1.465649, 0.137405
[Ard], 9223372036854775, 0, 2906336384, 33250, -0.985107, -0.000732, -0.070312, 1.328244, 1.610687, 0.267176
[Ard], 9223372036854775, 0, 2906532092, 97, -0.980957, 0.007080, -0.061279, 1.435115, 1.404580, 0.282443
[Ard], 9223372036854775, 0, 2906543240, 33379, -0.979736, 0.003906, -0.067139, 1.587786, 1.496183, 0.282443
[Ard], 9223372036854775, 0, 2906739692, 97, -0.982178, 0.009277, -0.063232, 1.625954, 1.725191, 0.183206
[Ard], 9223372036854775, 0, 2906750848, 1986, -0.981201, 0.005615, -0.067139, 1.419847, 1.625954, 0.335878
[Ard], 9223372036854775, 0, 2906790368, 33052, -0.988281, 0.004395, -0.063965, 1.435115, 1.748092, 0.274809
[Ard], 9223372036854775, 0, 2906984924, 97, -0.980713, 0.004395, -0.070312, 1.435115, 1.801527, 0.198473
[Ard], 9223372036854775, 0, 2906996068, 33183, -0.978271, 0.003906, -0.063965, 1.519084, 1.801527, 0.305344
[Ard], 9223372036854775, 0, 2907191388, 97, -0.979736, 0.006348, -0.060059, 1.442748, 1.946565, 0.396947
[Ard], 9223372036854775, 0, 2907202536, 33274, -0.979736, -0.000488, -0.065918, 1.511450, 1.664122, 0.305344
[Ard], 9223372036854775, 0, 2907398388, 97, -0.982422, 0.007812, -0.068115, 1.526718, 1.427481, 0.534351
[Ard], 9223372036854775, 0, 2907409532, 33232, -0.979736, 0.003174, -0.068359, 1.267176, 1.541985, 0.267176
[Ard], 9223372036854775, 0, 2907605136, 97, -0.977051, 0.001465, -0.069824, 1.358779, 1.839695, 0.427481
[Ard], 9223372036854775, 0, 2907616284, 2086, -0.979980, 0.006348, -0.070312, 1.488550, 1.717557, 0.129771
[Ard], 9223372036854775, 0, 2907655804, 33460, -0.978516, 0.003174, -0.062744, 1.358779, 1.755725, 0.320611
[Ard], 9223372036854775, 0, 2907852728, 93, -0.977783, -0.002197, -0.065430, 1.541985, 1.954198, 0.206107
[Ard], 9223372036854775, 0, 2907863884, 33276, -0.985107, 0.003906, -0.066162, 1.297710, 1.564885, 0.358779
[Ard], 9223372036854775, 0, 2908059740, 92, -0.979736, 0.003418, -0.069336, 1.251908, 1.526718, 0.358779
[Ard], 9223372036854775, 0, 2908070884, 33135, -0.976074, 0.000977, -0.061523, 1.419847, 1.664122, 0.320611
[Ard], 9223372036854775, 0, 2908265920, 92, -0.982422, 0.007324, -0.072021, 1.374046, 1.595420, 0.152672
[Ard], 9223372036854775, 0, 2908277076, 33132, -0.982666, 0.003174, -0.066895, 1.419847, 1.595420, 0.068702
[Ard], 9223372036854775, 0, 2908472096, 93, -0.981445, 0.010986, -0.056641, 1.450382, 1.770992, 0.267176
[Ard], 9223372036854775, 0, 2908483244, 33252, -0.979492, 0.002686, -0.068848, 1.396947, 1.587786, 0.091603
[Ard], 9223372036854775, 0, 2908678952, 98, -0.980225, 0.002686, -0.062744, 1.458015, 1.190840, 0.366412
[Ard], 9223372036854775, 0, 2908690100, 33242, -0.979004, 0.009033, -0.066406, 1.389313, 1.847328, 0.175573
[Ard], 9223372036854775, 0, 2908885752, 98, -0.978760, 0.003662, -0.065186, 1.335878, 1.580153, 0.190840
[Ard], 9223372036854775, 0, 2908896904, 33175, -0.984375, 0.004150, -0.066406, 1.328244, 1.526718, 0.160305
[Ard], 9223372036854775, 0, 2909092164, 97, -0.980469, 0.000977, -0.072510, 1.488550, 1.770992, 0.152672
[Ard], 9223372036854775, 0, 2909103304, 33137, -0.979004, 0.004150, -0.075684, 1.549618, 1.740458, -0.091603
[Ard], 9223372036854775, 0, 2909298344, 98, -0.985107, 0.006592, -0.057617, 1.595420, 1.847328, 0.236641
[Ard], 9223372036854775, 0, 2909309496, 33233, -0.982178, 0.008301, -0.065430, 1.435115, 1.580153, 0.251908
[Ard], 9223372036854775, 0, 2909505092, 98, -0.983398, 0.008301, -0.061523, 1.549618, 1.839695, 0.267176
[Ard], 9223372036854775, 0, 2909516248, 33086, -0.982666, 0.006836, -0.060059, 1.564885, 1.671756, 0.251908
[Ard], 9223372036854775, 0, 2909710992, 98, -0.985596, 0.006592, -0.064941, 1.351145, 1.824427, 0.343511
[Ard], 9223372036854775, 0, 2909722144, 33369, -0.989990, 0.005371, -0.067871, 1.404580, 1.839695, 0.335878
[Ard], 9223372036854775, 0, 2909918540, 97, -0.981201, 0.010742, -0.076416, 1.480916, 2.015267, 0.099237
[Ard], 9223372036854775, 0, 2909929688, 33466, -0.978271, -0.002441, -0.069092, 1.557252, 1.801527, 0.244275
[Ard], 9223372036854775, 0, 2910126652, 98, -0.983887, 0.006592, -0.066895, 1.603053, 1.450382, 0.396947
[Ard], 9223372036854775, 0, 2910137804, 33398, -0.977783, 0.000977, -0.069092, 1.496183, 1.633588, 0.259542
[Ard], 9223372036854775, 0, 2910334372, 97, -0.978760, 0.001953, -0.068604, 1.564885, 1.793893, 0.274809
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 997742896, 3179610112, 1.442748, 1.564885, 0.328244, 264388953043109937152.000000, 18057843026745787723716493312.000000, 0.000000
[Ard], 9223372036854775, 0, 2910385040, 32865, -0.974609, 0.000000, 0.000000, -0.000000, 0.000000, -0.979248
[Ard], 9223372036854775, 0, 2910385040, 32865, -0.974609, 0.000000, 0.000000, -0.000000, 0.000000, -0.979248
[Ard], 9223372036854775, 0, 2138426368, 8574637, 1246151246048358630847319119012823040.000000, -0.000000, 3655395686254872016869141492143226880.000000, 0.000031, 166154687895552198078039785694298112.000000, -0.000000
[Ard], 9223372036854775, 0, 2911019880, 1069899713, 0.412214, 0.000000, 747690747629015178508391471407693824.000000, -0.000000, -0.000000, -0.000000
[Ard], 9223372036854775, 3179413504, 1068426904, 1071820769, 0.305344, 0.000000, 8599741671948308259753634545270784.000000, 0.000000, 0.000000, -0.000000
[Ard], 9223372036854775, 0, 2911511800, 33272, -0.980469, 0.009033, -0.071533, 1.389313, 1.763359, 0.244275
[D], 9223372036854775,
